date,year,month,day,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,GWETROOT,GWETTOP,PRECTOTCORR,PS,QV2M,RH2M,T2M,T2M_MAX,T2M_MIN,T2M_RANGE,WD10M,WS10M,WS2M,insee_dep,department
2000-01-01,2000,1,1,2.05,5.2,0.64,0.66,0.88,101.49,5.87,99.07,6.12,8.51,4.37,4.14,264.4,2.33,1.41,94,Val-de-Marne
2000-01-02,2000,1,2,2.26,5.18,0.63,0.65,0.35,101.77,5.68,98.04,6.08,7.41,5.32,2.09,192.8,3.61,2.42,94,Val-de-Marne
2000-01-03,2000,1,3,3.45,4.99,0.63,0.65,0.31,101.46,4.97,93.75,4.85,7.19,3.55,3.64,197.7,6.04,4.23,94,Val-de-Marne
2000-01-04,2000,1,4,1.82,5.36,0.63,0.66,4.74,100.81,5.63,96.94,5.88,8.42,3.84,4.58,216.4,6.45,4.44,94,Val-de-Marne
2000-01-05,2000,1,5,3.49,5.02,0.63,0.65,0.22,100.92,5.36,97.22,5.05,8.36,3.58,4.78,196.5,4.18,2.85,94,Val-de-Marne
2000-01-06,2000,1,6,4.39,5.09,0.62,0.65,2.26,100.78,5.24,96.87,4.88,6.48,3.47,3.01,202.9,4.9,3.4,94,Val-de-Marne
2000-01-07,2000,1,7,2.93,5.46,0.62,0.65,0.72,101.23,4.74,96.45,3.72,4.63,2.79,1.84,208.3,4.42,3.15,94,Val-de-Marne
2000-01-08,2000,1,8,1.93,5.52,0.62,0.65,3.41,100.89,5.62,98.29,5.65,8.23,3.25,4.98,211.8,4.13,2.73,94,Val-de-Marne
2000-01-09,2000,1,9,3.05,5.67,0.63,0.65,0.12,101.54,4.52,95.86,2.89,5.63,-0.67,6.3,351.0,3.58,2.35,94,Val-de-Marne
2000-01-10,2000,1,10,4.54,5.46,0.62,0.64,0.16,102.48,3.57,91.96,0.61,4.52,-2.15,6.67,24.7,1.81,1.28,94,Val-de-Marne
2000-01-11,2000,1,11,2.7,5.59,0.62,0.64,0.09,102.67,3.09,95.64,-1.96,1.78,-4.11,5.89,201.3,2.4,1.63,94,Val-de-Marne
2000-01-12,2000,1,12,2.99,5.89,0.62,0.64,0.1,101.88,3.09,91.43,-1.16,1.98,-3.67,5.65,187.7,3.36,2.33,94,Val-de-Marne
2000-01-13,2000,1,13,2.14,5.65,0.62,0.64,1.63,100.71,3.36,94.36,-0.73,0.7,-2.62,3.32,193.5,4.13,2.82,94,Val-de-Marne
2000-01-14,2000,1,14,4.32,5.75,0.62,0.64,1.1,100.93,3.86,96.14,0.53,3.98,-0.82,4.8,58.4,1.96,1.15,94,Val-de-Marne
2000-01-15,2000,1,15,5.48,5.83,0.62,0.64,0.09,102.07,3.61,95.3,0.27,4.2,-1.9,6.1,38.3,4.94,3.46,94,Val-de-Marne
2000-01-16,2000,1,16,5.36,5.99,0.62,0.64,0.09,102.53,3.65,94.71,0.4,4.0,-2.53,6.53,33.0,4.27,2.96,94,Val-de-Marne
2000-01-17,2000,1,17,6.26,6.56,0.62,0.64,0.17,102.37,4.46,95.48,3.05,7.58,0.89,6.69,331.4,4.05,2.78,94,Val-de-Marne
2000-01-18,2000,1,18,6.36,6.46,0.62,0.64,0.49,101.94,5.1,94.83,5.09,6.75,3.55,3.2,344.1,5.67,3.93,94,Val-de-Marne
2000-01-19,2000,1,19,5.53,6.6,0.62,0.64,0.23,102.17,4.25,92.7,2.89,6.05,0.71,5.34,15.0,4.48,3.05,94,Val-de-Marne
2000-01-20,2000,1,20,4.33,6.41,0.62,0.64,0.17,102.23,3.84,90.61,1.71,5.99,-0.38,6.37,325.7,2.47,1.61,94,Val-de-Marne
2000-01-21,2000,1,21,3.86,6.8,0.62,0.64,0.3,101.92,4.42,93.24,3.25,7.31,0.5,6.81,330.2,3.94,2.65,94,Val-de-Marne
2000-01-22,2000,1,22,1.97,6.83,0.62,0.65,3.12,100.68,4.57,94.87,3.29,5.88,1.97,3.91,306.2,6.66,4.64,94,Val-de-Marne
2000-01-23,2000,1,23,2.36,6.84,0.62,0.65,1.0,100.82,4.23,93.31,2.51,5.72,-0.69,6.41,338.4,5.99,4.17,94,Val-de-Marne
2000-01-24,2000,1,24,6.3,6.82,0.62,0.64,0.01,101.24,2.58,84.23,-2.32,1.93,-5.47,7.4,60.7,2.7,1.66,94,Val-de-Marne
2000-01-25,2000,1,25,7.06,6.95,0.62,0.64,0.03,101.76,2.15,77.6,-3.21,1.68,-5.62,7.3,84.8,2.89,1.74,94,Val-de-Marne
2000-01-26,2000,1,26,7.1,7.0,0.62,0.64,0.0,102.19,2.05,77.43,-3.86,0.84,-7.4,8.24,112.3,2.6,1.59,94,Val-de-Marne
2000-01-27,2000,1,27,7.22,7.13,0.62,0.64,0.01,101.94,2.33,89.31,-4.64,1.95,-9.15,11.1,195.3,2.51,1.37,94,Val-de-Marne
2000-01-28,2000,1,28,6.21,7.25,0.62,0.64,0.09,101.01,3.57,93.34,-0.28,4.93,-6.12,11.05,225.3,5.3,3.55,94,Val-de-Marne
2000-01-29,2000,1,29,1.67,7.85,0.62,0.65,3.69,99.94,5.85,96.07,6.5,8.67,2.9,5.77,242.4,10.85,7.62,94,Val-de-Marne
2000-01-30,2000,1,30,2.76,7.48,0.63,0.65,1.42,100.86,6.63,93.05,9.04,10.82,7.14,3.68,258.2,8.59,6.01,94,Val-de-Marne
2000-01-31,2000,1,31,5.07,7.33,0.62,0.64,0.2,101.51,6.09,91.19,8.19,10.97,6.25,4.72,240.7,5.76,3.99,94,Val-de-Marne
2000-02-01,2000,2,1,4.3,7.86,0.62,0.64,0.3,100.97,5.56,95.96,5.93,8.12,3.42,4.7,211.4,4.47,3.1,94,Val-de-Marne
2000-02-02,2000,2,2,2.4,8.19,0.63,0.65,2.55,101.01,5.09,94.62,4.67,8.62,0.96,7.66,282.2,4.32,2.9,94,Val-de-Marne
2000-02-03,2000,2,3,3.77,8.19,0.63,0.64,0.24,102.42,4.66,94.2,3.81,8.35,1.79,6.56,270.1,2.94,1.91,94,Val-de-Marne
2000-02-04,2000,2,4,6.89,8.46,0.62,0.64,0.06,102.53,4.49,88.5,4.32,8.75,2.09,6.66,215.9,3.64,2.32,94,Val-de-Marne
2000-02-05,2000,2,5,8.28,8.54,0.62,0.64,0.0,101.86,4.79,86.8,5.39,12.42,-0.29,12.71,184.8,3.69,2.38,94,Val-de-Marne
2000-02-06,2000,2,6,4.11,8.33,0.62,0.64,0.98,101.11,5.76,95.66,6.51,9.0,3.88,5.12,213.2,5.48,3.88,94,Val-de-Marne
2000-02-07,2000,2,7,4.29,8.96,0.62,0.65,2.57,100.71,5.84,89.86,7.63,9.07,5.52,3.55,233.4,7.96,5.62,94,Val-de-Marne
2000-02-08,2000,2,8,2.52,9.14,0.63,0.67,5.71,100.26,6.33,88.07,8.93,12.74,5.82,6.92,253.0,9.06,6.34,94,Val-de-Marne
2000-02-09,2000,2,9,7.01,8.94,0.63,0.65,0.28,101.5,4.55,81.57,5.74,10.08,2.16,7.92,275.7,6.41,4.39,94,Val-de-Marne
2000-02-10,2000,2,10,4.95,9.7,0.63,0.67,4.93,101.07,4.76,92.03,4.41,8.06,1.02,7.04,219.5,7.23,5.08,94,Val-de-Marne
2000-02-11,2000,2,11,9.6,9.55,0.63,0.65,0.08,101.85,3.58,80.14,2.66,8.48,-1.61,10.09,294.7,1.8,1.05,94,Val-de-Marne
2000-02-12,2000,2,12,7.5,9.7,0.63,0.65,1.49,101.42,4.5,90.36,3.53,8.04,-2.6,10.64,234.2,6.48,4.42,94,Val-de-Marne
2000-02-13,2000,2,13,3.75,9.88,0.64,0.68,5.97,100.96,6.07,92.86,7.78,11.69,3.04,8.65,258.2,5.03,3.46,94,Val-de-Marne
2000-02-14,2000,2,14,4.31,10.03,0.64,0.66,1.99,101.1,5.55,95.38,5.82,9.13,0.49,8.64,213.6,4.78,3.22,94,Val-de-Marne
2000-02-15,2000,2,15,5.01,10.16,0.64,0.66,3.64,100.51,5.77,86.98,8.03,10.13,6.59,3.54,252.2,6.42,4.53,94,Val-de-Marne
2000-02-16,2000,2,16,5.28,9.95,0.64,0.67,3.44,99.64,4.35,87.17,3.73,7.25,1.4,5.85,265.9,7.39,5.19,94,Val-de-Marne
2000-02-17,2000,2,17,7.55,10.27,0.64,0.67,2.82,100.08,4.07,82.75,3.81,7.63,2.24,5.39,289.1,4.94,3.38,94,Val-de-Marne
2000-02-18,2000,2,18,5.32,10.81,0.65,0.67,4.17,99.62,5.66,88.19,7.31,11.3,2.0,9.3,258.7,8.47,5.97,94,Val-de-Marne
2000-02-19,2000,2,19,5.97,10.2,0.65,0.67,1.8,100.18,4.93,87.63,5.57,9.19,0.71,8.48,308.8,6.54,4.59,94,Val-de-Marne
2000-02-20,2000,2,20,8.32,10.56,0.64,0.66,0.12,101.72,3.67,78.94,3.27,7.36,0.26,7.1,336.1,2.34,1.72,94,Val-de-Marne
2000-02-21,2000,2,21,9.19,11.27,0.64,0.65,0.06,101.75,3.55,82.22,2.3,8.42,-2.94,11.36,223.7,3.09,1.85,94,Val-de-Marne
2000-02-22,2000,2,22,6.7,11.57,0.64,0.65,0.21,101.41,4.1,86.87,3.3,8.35,0.12,8.23,223.9,2.75,1.6,94,Val-de-Marne
2000-02-23,2000,2,23,7.45,10.97,0.63,0.65,0.37,101.38,4.49,86.69,4.39,10.37,-1.96,12.33,217.9,4.43,2.9,94,Val-de-Marne
2000-02-24,2000,2,24,4.31,11.77,0.64,0.66,1.14,101.36,6.86,95.05,9.26,11.87,6.15,5.72,229.1,5.66,3.93,94,Val-de-Marne
2000-02-25,2000,2,25,5.76,11.26,0.64,0.66,1.48,101.67,5.37,83.62,7.5,10.27,1.41,8.86,293.0,4.76,3.32,94,Val-de-Marne
2000-02-26,2000,2,26,9.36,11.97,0.64,0.65,0.12,101.96,4.13,84.3,3.79,9.84,-0.86,10.7,152.8,2.14,1.3,94,Val-de-Marne
2000-02-27,2000,2,27,11.3,12.12,0.63,0.65,0.05,101.18,5.97,87.93,8.02,16.21,0.39,15.82,192.2,5.29,3.61,94,Val-de-Marne
2000-02-28,2000,2,28,3.83,12.26,0.64,0.68,7.72,100.57,5.85,93.37,7.0,9.31,3.24,6.07,220.5,6.83,4.68,94,Val-de-Marne
2000-02-29,2000,2,29,4.33,12.93,0.65,0.67,3.92,99.88,5.43,92.73,5.93,9.4,2.6,6.8,217.1,8.77,6.15,94,Val-de-Marne
2000-03-01,2000,3,1,6.69,12.96,0.65,0.68,3.9,99.83,4.94,86.84,5.68,8.23,1.62,6.61,296.3,5.94,4.12,94,Val-de-Marne
2000-03-02,2000,3,2,10.43,12.59,0.65,0.66,0.22,101.12,4.32,83.18,4.62,8.55,-0.06,8.61,238.8,6.5,4.54,94,Val-de-Marne
2000-03-03,2000,3,3,4.3,13.5,0.65,0.69,9.93,100.0,6.26,93.01,8.03,10.37,4.77,5.6,240.4,9.39,6.59,94,Val-de-Marne
2000-03-04,2000,3,4,12.13,13.49,0.66,0.67,0.06,101.43,3.31,76.45,2.5,7.43,-2.34,9.77,329.2,4.75,3.21,94,Val-de-Marne
2000-03-05,2000,3,5,11.21,13.45,0.65,0.66,0.04,102.26,3.16,75.18,2.27,8.93,-3.18,12.11,265.9,2.45,1.42,94,Val-de-Marne
2000-03-06,2000,3,6,14.5,14.21,0.65,0.66,0.02,101.95,3.17,70.19,3.23,10.38,-3.12,13.5,220.7,2.74,1.62,94,Val-de-Marne
2000-03-07,2000,3,7,11.2,13.83,0.64,0.66,0.15,101.69,4.96,80.3,7.0,14.28,0.83,13.45,266.0,4.3,2.78,94,Val-de-Marne
2000-03-08,2000,3,8,8.79,14.38,0.64,0.65,0.09,101.7,6.0,81.33,9.81,16.2,4.35,11.85,257.4,6.5,4.49,94,Val-de-Marne
2000-03-09,2000,3,9,6.2,14.15,0.64,0.65,0.17,101.69,6.93,87.92,10.74,15.9,6.61,9.29,276.2,6.15,4.33,94,Val-de-Marne
2000-03-10,2000,3,10,8.69,14.37,0.64,0.65,0.1,101.68,6.51,86.36,10.13,15.39,6.72,8.67,285.6,4.08,2.89,94,Val-de-Marne
2000-03-11,2000,3,11,7.22,14.62,0.64,0.65,0.15,101.2,5.88,89.65,7.94,13.09,4.77,8.32,290.0,4.48,3.01,94,Val-de-Marne
2000-03-12,2000,3,12,11.45,15.07,0.63,0.65,0.0,101.5,4.66,77.82,7.02,12.69,2.98,9.71,53.3,3.2,1.99,94,Val-de-Marne
2000-03-13,2000,3,13,15.49,15.51,0.63,0.65,0.02,101.57,5.51,83.98,7.94,14.82,1.64,13.18,316.1,2.01,1.29,94,Val-de-Marne
2000-03-14,2000,3,14,9.53,15.24,0.63,0.65,1.48,101.39,6.2,88.1,9.08,15.26,4.94,10.32,288.5,5.65,3.95,94,Val-de-Marne
2000-03-15,2000,3,15,11.02,15.88,0.63,0.65,0.14,102.12,4.21,78.33,5.62,10.83,0.77,10.06,345.5,3.73,2.47,94,Val-de-Marne
2000-03-16,2000,3,16,10.94,15.87,0.63,0.65,0.07,102.16,5.1,84.37,7.0,12.87,0.55,12.32,330.2,3.05,2.08,94,Val-de-Marne
2000-03-17,2000,3,17,10.98,16.08,0.63,0.65,0.08,102.03,5.47,83.8,8.18,13.24,4.78,8.46,357.0,4.14,2.9,94,Val-de-Marne
2000-03-18,2000,3,18,9.18,16.81,0.63,0.64,0.35,102.01,4.81,80.44,6.9,11.93,3.75,8.18,5.5,5.95,4.2,94,Val-de-Marne
2000-03-19,2000,3,19,16.26,16.7,0.63,0.64,0.52,102.0,4.83,81.66,6.84,12.53,3.06,9.47,36.5,5.12,3.61,94,Val-de-Marne
2000-03-20,2000,3,20,12.33,16.7,0.63,0.64,0.01,101.59,4.33,78.74,5.93,12.26,2.13,10.13,58.3,4.56,3.11,94,Val-de-Marne
2000-03-21,2000,3,21,17.56,17.17,0.62,0.64,0.03,100.97,4.35,71.43,7.39,14.77,0.22,14.55,114.2,2.71,1.76,94,Val-de-Marne
2000-03-22,2000,3,22,16.74,17.67,0.62,0.64,0.01,100.56,4.82,69.7,8.89,16.13,0.83,15.3,183.3,2.19,1.32,94,Val-de-Marne
2000-03-23,2000,3,23,11.78,17.92,0.62,0.64,0.54,99.99,6.16,78.81,10.39,17.2,4.02,13.18,155.1,3.75,2.35,94,Val-de-Marne
2000-03-24,2000,3,24,7.18,18.18,0.62,0.65,2.7,99.85,6.44,83.72,10.32,14.36,7.39,6.97,235.4,4.92,3.37,94,Val-de-Marne
2000-03-25,2000,3,25,8.87,18.64,0.63,0.65,1.94,100.23,5.64,85.44,8.04,11.5,5.5,6.0,224.1,4.03,2.79,94,Val-de-Marne
2000-03-26,2000,3,26,9.91,17.75,0.63,0.66,3.58,99.85,5.11,89.46,5.76,9.31,4.1,5.21,233.9,4.6,3.18,94,Val-de-Marne
2000-03-27,2000,3,27,10.9,18.67,0.64,0.66,2.05,99.8,4.8,84.1,5.88,8.91,3.66,5.25,3.3,3.58,2.48,94,Val-de-Marne
2000-03-28,2000,3,28,8.84,19.48,0.64,0.66,1.38,100.26,4.59,82.78,5.51,9.47,2.49,6.98,28.8,6.14,4.32,94,Val-de-Marne
2000-03-29,2000,3,29,7.14,19.66,0.64,0.66,2.65,99.95,4.65,87.07,4.78,8.17,2.0,6.17,28.8,4.36,3.07,94,Val-de-Marne
2000-03-30,2000,3,30,6.4,19.89,0.64,0.68,4.97,99.97,5.26,90.95,5.93,8.24,4.57,3.67,283.4,2.53,1.73,94,Val-de-Marne
2000-03-31,2000,3,31,13.77,19.56,0.65,0.66,1.25,99.58,4.95,82.13,6.73,11.57,3.43,8.14,232.8,2.77,1.88,94,Val-de-Marne
2000-04-01,2000,4,1,8.81,20.35,0.64,0.67,4.04,99.33,5.45,91.77,6.07,9.46,3.09,6.37,217.0,4.1,2.74,94,Val-de-Marne
2000-04-02,2000,4,2,17.38,20.43,0.64,0.65,0.03,98.67,5.83,78.07,9.85,16.12,4.01,12.11,133.3,5.5,3.82,94,Val-de-Marne
2000-04-03,2000,4,3,10.07,20.45,0.64,0.67,3.62,97.73,7.0,89.32,9.95,14.84,6.87,7.97,159.7,5.21,3.54,94,Val-de-Marne
2000-04-04,2000,4,4,14.55,19.95,0.64,0.67,3.03,98.17,5.88,84.07,8.56,14.6,4.18,10.42,14.2,4.08,2.9,94,Val-de-Marne
2000-04-05,2000,4,5,4.11,21.0,0.64,0.66,0.6,99.9,4.21,78.28,4.98,8.24,1.64,6.6,11.4,6.72,4.67,94,Val-de-Marne
2000-04-06,2000,4,6,14.86,21.68,0.64,0.65,0.0,101.48,3.29,69.72,3.99,10.12,-2.03,12.15,53.9,5.03,3.39,94,Val-de-Marne
2000-04-07,2000,4,7,21.09,21.72,0.64,0.64,0.0,101.88,3.93,72.62,6.02,14.29,-2.66,16.95,69.8,4.32,2.81,94,Val-de-Marne
