date,year,month,day,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,GWETROOT,GWETTOP,PRECTOTCORR,PS,QV2M,RH2M,T2M,T2M_MAX,T2M_MIN,T2M_RANGE,WD10M,WS10M,WS2M,insee_dep,department
2000-01-01,2000,1,1,2.05,5.2,0.71,0.73,0.85,101.4,5.79,98.92,5.92,8.58,4.52,4.06,264.6,2.44,1.45,91,Essonne
2000-01-02,2000,1,2,2.26,5.18,0.7,0.72,0.23,101.67,5.57,97.82,5.79,7.6,4.92,2.68,195.1,3.11,2.04,91,Essonne
2000-01-03,2000,1,3,3.45,4.99,0.7,0.71,0.25,101.41,4.68,94.9,3.77,6.34,2.4,3.94,195.6,5.18,3.6,91,Essonne
2000-01-04,2000,1,4,1.82,5.36,0.7,0.72,3.36,100.8,5.53,96.91,5.65,8.48,3.32,5.16,217.8,6.49,4.49,91,Essonne
2000-01-05,2000,1,5,3.49,5.02,0.7,0.71,0.42,100.82,5.54,96.98,5.5,8.89,3.91,4.98,200.8,3.82,2.53,91,Essonne
2000-01-06,2000,1,6,4.39,5.09,0.7,0.72,1.88,100.7,5.16,96.56,4.75,6.08,3.18,2.9,205.4,4.78,3.33,91,Essonne
2000-01-07,2000,1,7,2.93,5.46,0.7,0.71,0.8,101.15,4.72,96.65,3.62,4.92,3.2,1.72,210.5,3.83,2.74,91,Essonne
2000-01-08,2000,1,8,1.93,5.52,0.7,0.72,3.64,100.79,5.8,97.91,6.18,8.81,3.86,4.95,212.4,4.13,2.79,91,Essonne
2000-01-09,2000,1,9,3.05,5.67,0.7,0.72,0.38,101.38,4.64,95.63,3.42,5.95,0.26,5.69,352.0,3.98,2.73,91,Essonne
2000-01-10,2000,1,10,4.54,5.46,0.7,0.71,0.16,102.33,3.55,92.92,0.4,4.4,-1.86,6.26,23.2,2.3,1.6,91,Essonne
2000-01-11,2000,1,11,2.7,5.59,0.7,0.71,0.08,102.55,3.05,94.84,-1.82,1.38,-3.81,5.19,194.2,1.42,0.99,91,Essonne
