date,year,month,day,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,GWETROOT,GWETTOP,PRECTOTCORR,PS,QV2M,RH2M,T2M,T2M_MAX,T2M_MIN,T2M_RANGE,WD10M,WS10M,WS2M,insee_dep,department
2000-01-01,2000,1,1,2.05,5.2,0.79,0.8,1.27,101.15,5.45,99.39,4.92,6.97,3.08,3.89,259.4,2.33,1.34,77,Seine-et-Marne
2000-01-02,2000,1,2,2.26,5.18,0.78,0.8,0.24,101.46,5.38,98.25,5.17,7.47,3.13,4.34,193.5,2.49,1.54,77,Seine-et-Marne
2000-01-03,2000,1,3,3.45,4.99,0.78,0.8,0.26,101.22,4.41,95.36,2.82,5.82,1.29,4.53,192.8,4.93,3.41,77,Seine-et-Marne
2000-01-04,2000,1,4,1.82,5.36,0.79,0.81,4.2,100.6,5.34,97.04,5.15,7.38,2.92,4.46,215.9,6.64,4.59,77,Seine-et-Marne
2000-01-05,2000,1,5,3.49,5.02,0.79,0.8,0.55,100.62,5.56,97.06,5.77,7.92,3.44,4.48,203.1,3.61,2.39,77,Seine-et-Marne
2000-01-06,2000,1,6,4.39,5.09,0.79,0.8,2.04,100.49,5.21,95.89,4.99,7.47,3.09,4.38,204.6,4.82,3.33,77,Seine-et-Marne
2000-01-07,2000,1,7,2.93,5.46,0.79,0.8,0.87,100.92,4.72,97.08,3.53,5.02,2.7,2.32,213.1,3.55,2.53,77,Seine-et-Marne
2000-01-08,2000,1,8,1.93,5.52,0.79,0.81,4.63,100.58,5.54,98.12,5.46,7.94,2.84,5.1,204.2,4.11,2.77,77,Seine-et-Marne
2000-01-09,2000,1,9,3.05,5.67,0.8,0.81,1.13,101.08,4.77,95.32,3.91,5.78,1.06,4.72,354.7,4.16,2.9,77,Seine-et-Marne
2000-01-10,2000,1,10,4.54,5.46,0.79,0.8,0.16,102.05,3.62,93.02,0.63,4.08,-1.41,5.49,22.0,2.62,1.78,77,Seine-et-Marne
2000-01-11,2000,1,11,2.7,5.59,0.79,0.8,0.06,102.29,3.11,93.3,-1.38,1.63,-3.07,4.7,194.8,0.9,0.61,77,Seine-et-Marne
2000-01-12,2000,1,12,2.99,5.89,0.79,0.8,0.15,101.53,3.23,94.44,-1.06,1.45,-2.26,3.71,170.3,2.02,1.25,77,Seine-et-Marne
2000-01-13,2000,1,13,2.14,5.65,0.79,0.8,0.63,100.41,3.38,93.3,-0.56,1.27,-2.26,3.53,194.7,3.66,2.46,77,Seine-et-Marne
2000-01-14,2000,1,14,4.32,5.75,0.79,0.8,0.48,100.53,3.98,97.53,0.66,4.33,-1.11,5.44,84.7,2.08,1.22,77,Seine-et-Marne
2000-01-15,2000,1,15,5.48,5.83,0.79,0.8,0.07,101.58,3.57,95.02,0.01,3.95,-1.84,5.79,39.4,4.61,3.21,77,Seine-et-Marne
2000-01-16,2000,1,16,5.36,5.99,0.79,0.8,0.04,102.05,3.39,92.22,-0.22,3.21,-2.84,6.05,40.3,4.68,3.21,77,Seine-et-Marne
2000-01-17,2000,1,17,6.26,6.56,0.79,0.8,0.16,101.93,4.34,96.76,2.37,5.83,0.49,5.34,333.2,3.84,2.61,77,Seine-et-Marne
2000-01-18,2000,1,18,6.36,6.46,0.79,0.8,0.5,101.48,4.97,96.43,4.41,6.07,2.39,3.68,339.7,5.35,3.68,77,Seine-et-Marne
2000-01-19,2000,1,19,5.53,6.6,0.79,0.8,0.13,101.71,4.09,93.17,2.14,5.33,-0.13,5.46,16.6,4.27,2.87,77,Seine-et-Marne
2000-01-20,2000,1,20,4.33,6.41,0.79,0.8,0.15,101.83,3.61,91.63,0.78,4.91,-1.65,6.56,334.8,2.26,1.45,77,Seine-et-Marne
2000-01-21,2000,1,21,3.86,6.8,0.79,0.8,0.33,101.51,4.26,95.72,2.28,6.17,0.48,5.69,322.0,3.52,2.34,77,Seine-et-Marne
2000-01-22,2000,1,22,1.97,6.83,0.79,0.81,3.45,100.29,4.48,96.24,2.79,4.97,1.75,3.22,296.8,6.43,4.49,77,Seine-et-Marne
2000-01-23,2000,1,23,2.36,6.84,0.8,0.81,0.84,100.36,4.12,94.81,1.83,4.53,-2.31,6.84,334.8,5.84,4.04,77,Seine-et-Marne
2000-01-24,2000,1,24,6.3,6.82,0.79,0.8,0.01,100.81,2.55,86.32,-2.86,0.97,-5.45,6.42,52.0,2.95,1.92,77,Seine-et-Marne
2000-01-25,2000,1,25,7.06,6.95,0.79,0.8,0.04,101.33,2.19,79.93,-3.49,0.65,-5.61,6.26,74.6,3.58,2.39,77,Seine-et-Marne
2000-01-26,2000,1,26,7.1,7.0,0.79,0.8,0.0,101.79,1.9,83.61,-5.77,-0.76,-9.5,8.74,98.3,2.86,1.75,77,Seine-et-Marne
2000-01-27,2000,1,27,7.22,7.13,0.79,0.8,0.04,101.57,2.43,90.7,-4.7,1.77,-9.19,10.96,192.9,2.49,1.39,77,Seine-et-Marne
2000-01-28,2000,1,28,6.21,7.25,0.79,0.8,0.19,100.74,3.61,95.52,-0.3,4.86,-5.97,10.83,221.8,4.97,3.39,77,Seine-et-Marne
2000-01-29,2000,1,29,1.67,7.85,0.8,0.81,4.59,99.78,5.55,97.22,5.51,7.75,1.91,5.84,237.3,10.59,7.42,77,Seine-et-Marne
2000-01-30,2000,1,30,2.76,7.48,0.8,0.81,1.34,100.62,6.53,94.1,8.62,10.51,7.42,3.09,253.8,8.41,5.87,77,Seine-et-Marne
2000-01-31,2000,1,31,5.07,7.33,0.8,0.81,0.32,101.24,6.15,94.96,7.62,10.0,5.72,4.28,240.8,5.05,3.42,77,Seine-et-Marne
2000-02-01,2000,2,1,4.3,7.86,0.8,0.81,0.3,100.67,5.62,96.19,6.09,8.16,4.14,4.02,213.6,3.78,2.61,77,Seine-et-Marne
2000-02-02,2000,2,2,2.4,8.19,0.8,0.82,3.47,100.63,5.32,96.51,5.03,8.75,0.16,8.59,284.4,4.08,2.74,77,Seine-et-Marne
2000-02-03,2000,2,3,3.77,8.19,0.8,0.81,0.16,102.07,4.38,92.62,3.29,7.16,1.06,6.1,267.8,2.67,1.77,77,Seine-et-Marne
2000-02-04,2000,2,4,6.89,8.46,0.8,0.81,0.04,102.2,4.33,90.18,3.28,7.98,0.69,7.29,209.7,2.95,1.77,77,Seine-et-Marne
2000-02-05,2000,2,5,8.28,8.54,0.8,0.81,0.0,101.55,4.79,87.82,5.16,12.42,-0.63,13.05,180.4,3.54,2.2,77,Seine-et-Marne
2000-02-06,2000,2,6,4.11,8.33,0.8,0.81,1.9,100.85,5.88,95.63,6.82,9.39,4.79,4.6,214.7,5.41,3.78,77,Seine-et-Marne
2000-02-07,2000,2,7,4.29,8.96,0.8,0.81,2.64,100.49,5.8,91.77,7.18,8.86,5.08,3.78,231.7,7.86,5.53,77,Seine-et-Marne
2000-02-08,2000,2,8,2.52,9.14,0.81,0.83,7.29,100.03,6.59,90.93,9.02,12.07,5.49,6.58,249.9,8.89,6.2,77,Seine-et-Marne
2000-02-09,2000,2,9,7.01,8.94,0.81,0.81,0.62,101.2,4.64,85.57,5.19,9.4,1.71,7.69,272.2,6.09,4.14,77,Seine-et-Marne
2000-02-10,2000,2,10,4.95,9.7,0.81,0.82,5.92,100.81,4.83,90.78,4.79,9.07,1.8,7.27,218.9,6.79,4.78,77,Seine-et-Marne
2000-02-11,2000,2,11,9.6,9.55,0.81,0.82,0.02,101.47,3.56,81.23,2.45,7.39,-1.51,8.9,358.2,2.03,1.43,77,Seine-et-Marne
2000-02-12,2000,2,12,7.5,9.7,0.81,0.82,1.26,101.17,4.16,88.45,2.84,7.6,-3.3,10.9,237.1,6.24,4.26,77,Seine-et-Marne
2000-02-13,2000,2,13,3.75,9.88,0.82,0.83,7.03,100.66,6.14,94.24,7.69,10.8,5.9,4.9,242.6,5.54,3.86,77,Seine-et-Marne
2000-02-14,2000,2,14,4.31,10.03,0.82,0.83,2.45,100.78,5.89,96.2,6.7,9.07,3.35,5.72,220.0,4.11,2.82,77,Seine-et-Marne
2000-02-15,2000,2,15,5.01,10.16,0.82,0.83,3.98,100.24,5.97,88.77,8.18,10.17,7.06,3.11,251.0,6.6,4.64,77,Seine-et-Marne
2000-02-16,2000,2,16,5.28,9.95,0.83,0.83,4.16,99.36,4.51,89.51,3.74,7.87,0.75,7.12,262.3,7.56,5.29,77,Seine-et-Marne
2000-02-17,2000,2,17,7.55,10.27,0.83,0.83,2.6,99.74,4.07,85.02,3.3,6.87,1.55,5.32,283.3,5.25,3.58,77,Seine-et-Marne
2000-02-18,2000,2,18,5.32,10.81,0.83,0.84,4.54,99.37,5.68,90.63,6.83,11.44,1.41,10.03,252.8,7.91,5.53,77,Seine-et-Marne
2000-02-19,2000,2,19,5.97,10.2,0.83,0.83,1.93,99.8,5.0,88.78,5.52,8.9,1.61,7.29,299.0,6.85,4.8,77,Seine-et-Marne
2000-02-20,2000,2,20,8.32,10.56,0.83,0.83,0.12,101.32,3.66,81.56,2.66,6.56,-0.43,6.99,344.4,2.73,1.99,77,Seine-et-Marne
2000-02-21,2000,2,21,9.19,11.27,0.83,0.83,0.03,101.41,3.35,80.68,1.47,7.01,-3.2,10.21,213.8,2.37,1.4,77,Seine-et-Marne
2000-02-22,2000,2,22,6.7,11.57,0.82,0.82,0.03,101.07,3.32,76.5,2.13,7.83,-1.84,9.67,211.6,2.44,1.41,77,Seine-et-Marne
2000-02-23,2000,2,23,7.45,10.97,0.82,0.82,0.13,101.08,4.17,84.83,3.81,10.34,-2.25,12.59,218.6,3.94,2.47,77,Seine-et-Marne
2000-02-24,2000,2,24,4.31,11.77,0.82,0.83,1.17,101.1,6.51,95.18,8.4,11.37,5.28,6.09,227.2,5.52,3.82,77,Seine-et-Marne
2000-02-25,2000,2,25,5.76,11.26,0.82,0.83,1.53,101.31,5.78,88.28,7.77,10.16,1.84,8.32,278.1,4.98,3.37,77,Seine-et-Marne
2000-02-26,2000,2,26,9.36,11.97,0.82,0.82,0.06,101.59,4.28,86.03,3.98,9.55,0.51,9.04,109.2,2.1,1.28,77,Seine-et-Marne
2000-02-27,2000,2,27,11.3,12.12,0.82,0.82,0.08,100.9,6.03,89.16,7.72,15.96,-0.07,16.03,186.0,4.69,3.05,77,Seine-et-Marne
2000-02-28,2000,2,28,3.83,12.26,0.82,0.83,5.54,100.34,6.03,94.25,7.28,11.65,3.23,8.42,220.2,7.01,4.79,77,Seine-et-Marne
2000-02-29,2000,2,29,4.33,12.93,0.83,0.84,6.27,99.7,5.6,94.42,6.11,8.75,3.49,5.26,217.2,8.6,6.03,77,Seine-et-Marne
2000-03-01,2000,3,1,6.69,12.96,0.84,0.84,5.28,99.46,5.09,90.1,5.43,7.34,2.38,4.96,290.0,6.05,4.2,77,Seine-et-Marne
2000-03-02,2000,3,2,10.43,12.59,0.84,0.83,0.15,100.86,4.16,84.4,3.92,7.96,0.29,7.67,241.4,5.89,4.18,77,Seine-et-Marne
